Key            Name:Suffix                                Trend Definitions Used,,,,,,,,,
Point_1:,HOSP_1FL_PHARM_FCU01:ROOM TEMP,,15 minutes,,,,,,
Point_2:,HOS.1FL.ANTE.RM.DIFF.PRESS,,15 minutes,,,,,,
Point_3:,HOS.1FL.ANTE.RM.HUMID,,15 minutes,,,,,,
Point_4:,HOS.1FL.ANTE.RM.TEMP,,15 minutes,,,,,,
Point_5:,HOS.1FL.CLEAN.RM.DIFF.PRESS,,15 minutes,,,,,,
Point_6:,HOS.1FL.STORAGE.DIFF.PRESS,,15 minutes,,,,,,
Point_7:,pCOWeb7700_A003,,Error:  Point not found in database.,,,,,,
Point_8:,pCOWeb7700_A004,,Error:  Point not found in database.,,,,,,
Time Interval:,15 Minutes,,,,,,,,
Date Range:,12/31/2019 06:55:11 - 1/1/2020 06:55:11,,,,,,,,
Report Timings:,All Hours,,,,,,,,
,,,,,,,,,
<>Date,Time,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8
12/31/2019,6:55:11,72,0.04,26.81,73.53,-0.09,-0.06,No Data,No Data
12/31/2019,7:10:11,72.25,0.04,26.81,73.57,-0.09,-0.06,No Data,No Data
12/31/2019,7:25:11,72.25,0.05,26.81,73.62,-0.09,-0.06,No Data,No Data
12/31/2019,7:40:11,72.25,0.04,26.35,73.67,-0.09,-0.06,No Data,No Data
12/31/2019,7:55:11,72.25,0.05,26.2,73.75,-0.09,-0.06,No Data,No Data
12/31/2019,8:10:11,72.25,0.04,26.1,73.8,-0.09,-0.06,No Data,No Data
12/31/2019,8:25:11,72.25,0.04,26.15,73.84,-0.09,-0.06,No Data,No Data
12/31/2019,8:40:11,72.25,0.04,26.15,73.93,-0.09,-0.06,No Data,No Data
12/31/2019,8:55:11,72.25,0.05,26.05,73.98,-0.09,-0.06,No Data,No Data
12/31/2019,9:10:11,72.25,0.04,25.9,74.02,-0.09,-0.06,No Data,No Data
12/31/2019,9:25:11,72.25,0.04,26.3,74.02,-0.09,-0.06,No Data,No Data
12/31/2019,9:40:11,72.25,0.05,26.15,74.07,-0.09,-0.06,No Data,No Data
12/31/2019,9:55:11,72.25,0.06,26.35,74.03,-0.09,-0.06,No Data,No Data
12/31/2019,10:10:11,72.25,0.06,26.3,74.07,-0.09,-0.06,No Data,No Data
12/31/2019,10:25:11,72.5,0.06,26.25,74.07,-0.09,-0.06,No Data,No Data
12/31/2019,10:40:11,72.5,0.05,26.35,74.07,-0.09,-0.06,No Data,No Data
12/31/2019,10:55:11,72.5,0.05,26.15,74.12,-0.09,-0.06,No Data,No Data
12/31/2019,11:10:11,72.5,0.05,26.1,74.21,-0.1,-0.06,No Data,No Data
12/31/2019,11:25:11,72.5,0.06,26,74.25,-0.1,-0.06,No Data,No Data
12/31/2019,11:40:11,72.5,0.06,26,74.3,-0.1,-0.06,No Data,No Data
12/31/2019,11:55:11,72.5,0.04,26.05,74.43,-0.09,-0.06,No Data,No Data
12/31/2019,12:10:11,72.5,0.06,25.84,74.47,-0.1,-0.06,No Data,No Data
12/31/2019,12:25:11,72.5,0.05,25.95,74.57,-0.1,-0.06,No Data,No Data
12/31/2019,12:40:11,72.5,0.06,26,74.59,-0.1,-0.06,No Data,No Data
12/31/2019,12:55:11,72.75,0.06,25.9,74.61,-0.1,-0.06,No Data,No Data
12/31/2019,13:10:11,72.5,0.05,26.2,74.66,-0.09,-0.06,No Data,No Data
12/31/2019,13:25:11,72.5,0.06,26.2,74.66,-0.1,-0.06,No Data,No Data
12/31/2019,13:40:11,72.5,0.06,26.3,74.66,-0.1,-0.06,No Data,No Data
12/31/2019,13:55:11,72.5,0.04,26.4,74.66,-0.09,-0.06,No Data,No Data
